minimo {99999,-99999}
minimo {99998,-99998}
minimo {99997,-99997}
minimo {99996,-99996}
minimo {99995,-99995}
minimo {99994,-99994}
minimo {99993,-99993}
minimo {99992,-99992}
minimo {99991,-99991}
minimo {99990,-99990}
minimo {99989,-99989}
minimo {99988,-99988}
minimo {99987,-99987}
minimo {99986,-99986}
minimo {99985,-99985}
minimo {99984,-99984}
minimo {99983,-99983}
minimo {99982,-99982}
minimo {99981,-99981}
minimo {99980,-99980}
minimo {99979,-99979}
minimo {99978,-99978}
minimo {99977,-99977}
minimo {99976,-99976}
minimo {99975,-99975}
minimo {99974,-99974}
minimo {99973,-99973}
minimo {99972,-99972}
minimo {99971,-99971}
minimo {99970,-99970}
minimo {99969,-99969}
minimo {99968,-99968}
minimo {99967,-99967}
minimo {99966,-99966}
minimo {99965,-99965}
minimo {99964,-99964}
minimo {99963,-99963}
minimo {99962,-99962}
minimo {99961,-99961}
minimo {99960,-99960}
minimo {99959,-99959}
minimo {99958,-99958}
minimo {99957,-99957}
minimo {99956,-99956}
minimo {99955,-99955}
minimo {99954,-99954}
minimo {99953,-99953}
minimo {99952,-99952}
minimo {99951,-99951}
minimo {99950,-99950}
minimo {99949,-99949}
minimo {99948,-99948}
minimo {99947,-99947}
minimo {99946,-99946}
minimo {99945,-99945}
minimo {99944,-99944}
minimo {99943,-99943}
minimo {99942,-99942}
minimo {99941,-99941}
minimo {99940,-99940}
minimo {99939,-99939}
minimo {99938,-99938}
minimo {99937,-99937}
minimo {99936,-99936}
minimo {99935,-99935}
minimo {99934,-99934}
minimo {99933,-99933}
minimo {99932,-99932}
minimo {99931,-99931}
minimo {99930,-99930}
minimo {99929,-99929}
minimo {99928,-99928}
minimo {99927,-99927}
minimo {99926,-99926}
minimo {99925,-99925}
minimo {99924,-99924}
minimo {99923,-99923}
minimo {99922,-99922}
minimo {99921,-99921}
minimo {99920,-99920}
minimo {99919,-99919}
minimo {99918,-99918}
minimo {99917,-99917}
minimo {99916,-99916}
minimo {99915,-99915}
minimo {99914,-99914}
minimo {99913,-99913}
minimo {99912,-99912}
minimo {99911,-99911}
minimo {99910,-99910}
minimo {99909,-99909}
minimo {99908,-99908}
minimo {99907,-99907}
minimo {99906,-99906}
minimo {99905,-99905}
minimo {99904,-99904}
minimo {99903,-99903}
minimo {99902,-99902}
minimo {99901,-99901}
minimo {99900,-99900}
minimo {99899,-99899}
minimo {99898,-99898}
minimo {99897,-99897}
minimo {99896,-99896}
minimo {99895,-99895}
minimo {99894,-99894}
minimo {99893,-99893}
minimo {99892,-99892}
minimo {99891,-99891}
minimo {99890,-99890}
minimo {99889,-99889}
minimo {99888,-99888}
minimo {99887,-99887}
minimo {99886,-99886}
minimo {99885,-99885}
minimo {99884,-99884}
minimo {99883,-99883}
minimo {99882,-99882}
minimo {99881,-99881}
minimo {99880,-99880}
minimo {99879,-99879}
minimo {99878,-99878}
minimo {99877,-99877}
minimo {99876,-99876}
minimo {99875,-99875}
minimo {99874,-99874}
minimo {99873,-99873}
minimo {99872,-99872}
minimo {99871,-99871}
minimo {99870,-99870}
minimo {99869,-99869}
